RK,NAME,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
1,Cooper KuppLAR,WR,17,145,191,"1,947",13.4,16,59,30,114.5,0,0,846,89
2,Justin JeffersonMIN,WR,17,108,167,"1,616",15,10,56,27,95.1,1,1,482,75
3,Davante AdamsGB,WR,16,123,169,"1,553",12.6,11,59,19,97.1,0,0,604,84
4,Ja'Marr ChaseCIN,WR,17,81,128,"1,455",18,13,82,22,85.6,2,1,651,56
5,Deebo SamuelSF,WR,16,77,121,"1,405",18.2,6,83,23,87.8,4,2,780,51
6,Mark AndrewsBAL,TE,17,107,153,"1,361",12.7,9,43,20,80.1,1,0,458,75
7,Tyreek HillKC,WR,17,111,159,"1,239",11.2,9,75,13,72.9,2,1,444,75
8,Stefon DiggsBUF,WR,17,103,164,"1,225",11.9,10,61,12,72.1,1,0,326,66
9,Tyler LockettSEA,WR,16,73,107,"1,175",16.1,8,69,22,73.4,0,0,277,41
10,Diontae JohnsonPIT,WR,16,107,169,"1,161",10.9,8,50,14,72.6,2,2,527,59
11,DJ MooreCAR,WR,17,93,163,"1,157",12.4,4,64,16,68.1,1,1,426,60
12,Mike WilliamsLAC,WR,16,76,129,"1,146",15.1,9,72,17,71.6,0,0,415,51
13,Keenan AllenLAC,WR,16,106,157,"1,138",10.7,6,42,12,71.1,1,0,337,66
14,Travis KelceKC,TE,16,92,134,"1,125",12.2,9,69,13,70.3,1,1,564,63
15,Chris GodwinTB,WR,14,98,127,"1,103",11.3,5,44,15,78.8,2,2,586,55
16,CeeDee LambDAL,WR,16,79,120,"1,102",13.9,6,49,20,68.9,0,0,441,54
17,Tee HigginsCIN,WR,14,74,110,"1,091",14.7,6,54,17,77.9,1,1,290,53
18,Michael Pittman Jr.IND,WR,17,88,129,"1,082",12.3,6,57,12,63.6,1,0,348,54
19,Darnell MooneyCHI,WR,17,81,140,"1,055",13,4,64,14,62.1,0,0,381,49
