category,air_date,category
"""!""",9/13/00,5
"""-ARES""",10/15/10,5
"""-ICIAN"" EXPEDITION",5/30/06,5
"""...OD"" WORDS",3/14/01,5
"""1"", ""2"", ""3""",12/13/10,5
"""20"" QUESTIONS",12/10/01,5
"""A"" & ""E""",2/16/99,5
"""A"" & ""M""",7/6/00,5
"""A"" + 4",12/17/10,5
"""A"" BEFORE ""E""",7/19/11,5
"""A"" IN COLLEGE",1/22/01,5
"""A"" IN GEOGRAPHY",1/17/01,5
"""A"" IN GEOGRAPHY",10/5/06,5
"""A"" IN GEOGRAPHY",11/12/08,5
"""A"" IN GEOGRAPHY",11/19/02,5
"""A"" IN GEOGRAPHY",11/21/94,5
"""A"" IN HISTORY",5/6/04,5
"""A"" IN LITERATURE",11/14/88,5
"""A"" IN MATH",10/10/11,5
"""A"" IN SCIENCE",12/6/07,5
"""A"" IN SCIENCE",3/25/08,5
"""A"" IN SCIENCE",4/20/06,5
"""A"" IN SCIENCE",9/29/09,5
"""A"" IN SEX EDUCATION",10/17/97,5
"""A"" IN SHAKESPEARE",1/20/05,5
"""A"" IS FOR AUTHOR",4/18/11,5
"""A"" MEN",10/17/03,5
"""A"" MEN",2/22/05,5
"""A"" MEN",9/17/97,5
"""A"" OK",6/11/03,5
"""A"" PLUS",10/8/08,5
"""A"" PLUS",12/17/04,5
"""A"" PLUS",12/2/97,4
"""A"" PLUS",3/19/03,5
"""A"" PLUS",3/5/03,5
"""A"" PLUS",5/6/98,5
"""A"" PLUS",6/26/00,5
"""A"" SCIENCE CATEGORY",9/20/10,4
"""A"" TOUGHIE",2/21/00,5
"""A"" TRAVEL CATEGORY",3/20/09,5
"""A"" _____",9/12/02,5
"""A""BBREVIATIONS",5/10/99,5
"""A""NATOMY",12/30/11,5
"""A""NCIENT GREEKS",6/28/04,5
"""A""RT",12/4/00,5
"""A.C.""",4/24/87,5
"""A.C.""",4/4/00,5
"""A.C.""/""D.C.""",3/15/04,5
"""A.M""/""P.M.""",4/7/05,5
"""A.M.""",12/7/99,5
"""AA""",2/17/05,5
"""AA""",2/26/99,5
"""AA""",9/11/07,5
"""ACE""",7/14/10,5
"""ACE"" IN THE HOLE",5/27/98,5
"""ACK""!",2/25/99,5
"""ACT"" UP",6/28/01,5
"""ACTION""!",1/26/11,5
"""AD""JECTIVES",3/24/99,5
"""AE""",5/25/06,5
"""AE""-NCIENT CROSSWORD CLUES",12/22/08,5
"""AFTER"" CLASS",2/20/08,5
"""AGG""-RESSIVE",1/15/10,5
"""AI""",12/11/07,5
"""AIN"" DROPS",9/12/05,5
"""AIN"" WE GOT FUN",1/1/08,5
"""AIRE"" TIME",4/6/10,5
"""AL""-X",10/3/11,5
"""ALL""",6/25/10,5
"""ALL"" THE WAY",9/14/00,5
"""ALLEY"" WAYS",10/19/99,5
"""ALLO"" DARLIN'",5/25/10,5
"""ALLO"", ""ALLO"", ""ALLO""",4/9/07,5
"""ALT""ERNATIVE",7/17/07,5
"""AMERICAN"" MOVIES",9/12/03,5
"""AMP"" IT UP",12/1/06,5
"""AND""",1/13/12,5
"""AND"" IDIOMS",7/22/10,5
"""AND"" READ",3/13/01,5
"""AND"" SO IT GOES",11/17/88,5
"""AND""ROCLES",3/7/08,5
"""ANDY""",12/10/84,5
"""ANG""ST",4/3/97,5
"""ANN"" IN OTHER NEWS...",12/6/02,5
"""ANT"" INFESTATION",5/21/04,5
"""ANTI""-MATTER",3/13/03,5
"""APP""Y DAYS",5/1/01,5
"""APPY"" ENDING",10/19/10,4
"""APRIL""  SONGS",11/13/87,5
"""AR"" MATEY!",11/29/05,5
"""AR"" WORDS",12/20/06,5
"""ARD"" STUFF",1/4/10,5
"""ARG""!",3/14/08,5
"""ARG""!!!",12/17/09,5
"""ARK"", WHO GOES THERE?",4/19/11,5
"""ARM""s",5/27/08,5
"""ARROW""S",3/29/07,5
"""ART"" CLASS",1/5/01,5
"""AS"" YOU LIKE IT",6/15/05,5
"""AT"" EASE",4/20/07,5
"""ATCH"", YOU!",5/27/09,5
"""ATTLE"" FIELD",11/22/00,5
"""AW"", SHUCKS",2/19/98,5
"""AW"", SHUCKS",6/14/11,5
"""AZ"" I WAS SAYING",4/7/11,5
"""A____A"" IN THE ATLAS",6/9/09,5
"""B""",9/10/02,5
"""B"" & ""O""",4/2/08,5
"""B"" ACTORS",10/20/06,5
"""B"" BOYS",1/6/06,5
"""B"" BOYS",6/23/05,5
"""B"" BRAVE",12/1/04,5
"""B"" BRAVE",9/22/05,5
"""B"" FOLKS",6/8/04,5
